income,tax,rate
28200,1566.0,5.553
23300,1177.0,5.052
28300,1574.0,5.562
23400,1184.0,5.06
28400,1582.0,5.57
23500,1191.0,5.068
28500,1590.0,5.579
23600,1198.0,5.076
28600,1598.0,5.587
23700,1206.0,5.089
28700,1606.0,5.596
23800,1214.0,5.101
28800,1614.0,5.604
23900,1222.0,5.113
28900,1622.0,5.612
24000,1230.0,5.125
29000,1630.0,5.621
24100,1238.0,5.137
29100,1638.0,5.629
24200,1246.0,5.149
29200,1646.0,5.637
24300,1254.0,5.16
29300,1654.0,5.645
24400,1262.0,5.172
29400,1662.0,5.653
24500,1270.0,5.184
29500,1670.0,5.661
24600,1278.0,5.195
29600,1678.0,5.669
24700,1286.0,5.206
29700,1686.0,5.677
24800,1294.0,5.218
29800,1694.0,5.685
24900,1302.0,5.229
29900,1702.0,5.692
25000,1310.0,5.24
30000,1710.0,5.7
30100,1718.0,5.708
35100,2118.0,6.034
30200,1726.0,5.715
35200,2126.0,6.04
30300,1734.0,5.723
35300,2134.0,6.045
30400,1742.0,5.73
35400,2142.0,6.051
30500,1750.0,5.738
35500,2150.0,6.056
30600,1758.0,5.745
35600,2158.0,6.062
30700,1766.0,5.752
35700,2166.0,6.067
30800,1774.0,5.76
35800,2174.0,6.073
30900,1782.0,5.767
35900,2182.0,6.078
31000,1790.0,5.774
36000,2190.0,6.083
31100,1798.0,5.781
36100,2198.0,6.089
31200,1806.0,5.788
36200,2206.0,6.094
31300,1814.0,5.796
36300,2214.0,6.099
31400,1822.0,5.803
36400,2222.0,6.104
31500,1830.0,5.81
36500,2230.0,6.11
31600,1838.0,5.816
36600,2238.0,6.115
31700,1846.0,5.823
36700,2246.0,6.12
31800,1854.0,5.83
36800,2254.0,6.125
31900,1862.0,5.837
36900,2262.0,6.13
32000,1870.0,5.844
37000,2270.0,6.135
32100,1878.0,5.85
37100,2278.0,6.14
32200,1886.0,5.857
37200,2286.0,6.145
32300,1894.0,5.864
37300,2294.0,6.15
32400,1902.0,5.87
37400,2302.0,6.155
32500,1910.0,5.877
37500,2310.0,6.16
32600,1918.0,5.883
37600,2318.0,6.165
32700,1926.0,5.89
37700,2326.0,6.17
32800,1934.0,5.896
37800,2334.0,6.175
32900,1942.0,5.903
37900,2342.0,6.179
33000,1950.0,5.909
38000,2350.0,6.184
33100,1958.0,5.915
38100,2358.0,6.189
33200,1966.0,5.922
38200,2366.0,6.194
33300,1974.0,5.928
38300,2374.0,6.198
33400,1982.0,5.934
38400,2382.0,6.203
33500,1990.0,5.94
38500,2390.0,6.208
33600,1998.0,5.946
38600,2398.0,6.212
33700,2006.0,5.953
38700,2406.0,6.217
33800,2014.0,5.959
38800,2414.0,6.222
33900,2022.0,5.965
38900,2422.0,6.226
34000,2030.0,5.971
39000,2430.0,6.231
34100,2038.0,5.977
39100,2438.0,6.235
34200,2046.0,5.982
39200,2446.0,6.24
34300,2054.0,5.988
39300,2454.0,6.244
34400,2062.0,5.994
39400,2462.0,6.249
34500,2070.0,6.0
39500,2470.0,6.253
34600,2078.0,6.006
39600,2478.0,6.258
34700,2086.0,6.012
39700,2486.0,6.262
34800,2094.0,6.017
39800,2494.0,6.266
34900,2102.0,6.023
39900,2502.0,6.271
35000,2110.0,6.029
40000,2510.0,6.275
40100,2518.0,6.279
45100,2964.0,6.572
40200,2526.0,6.284
45200,2973.0,6.577
40300,2534.0,6.288
45300,2982.0,6.583
40400,2542.0,6.292
45400,2991.0,6.588
40500,2550.0,6.296
45500,3000.0,6.593
40600,2559.0,6.303
45600,3009.0,6.599
40700,2568.0,6.31
45700,3018.0,6.604
40800,2577.0,6.316
45800,3027.0,6.609
40900,2586.0,6.323
45900,3036.0,6.614
41000,2595.0,6.329
46000,3045.0,6.62
41100,2604.0,6.336
46100,3054.0,6.625
41200,2613.0,6.342
46200,3063.0,6.63
41300,2622.0,6.349
46300,3072.0,6.635
41400,2631.0,6.355
46400,3081.0,6.64
41500,2640.0,6.361
46500,3090.0,6.645
41600,2649.0,6.368
46600,3099.0,6.65
41700,2658.0,6.374
46700,3108.0,6.655
41800,2667.0,6.38
46800,3117.0,6.66
41900,2676.0,6.387
46900,3126.0,6.665
42000,2685.0,6.393
47000,3135.0,6.67
42100,2694.0,6.399
47100,3144.0,6.675
42200,2703.0,6.405
47200,3153.0,6.68
42300,2712.0,6.411
47300,3162.0,6.685
42400,2721.0,6.417
47400,3171.0,6.69
42500,2730.0,6.424
47500,3180.0,6.695
42600,2739.0,6.43
47600,3189.0,6.7
42700,2748.0,6.436
47700,3198.0,6.704
42800,2757.0,6.442
47800,3207.0,6.709
42900,2766.0,6.448
47900,3216.0,6.714
43000,2775.0,6.453
48000,3225.0,6.719
43100,2784.0,6.459
48100,3234.0,6.723
43200,2793.0,6.465
48200,3243.0,6.728
43300,2802.0,6.471
48300,3252.0,6.733
43400,2811.0,6.477
48400,3261.0,6.738
43500,2820.0,6.483
48500,3270.0,6.742
43600,2829.0,6.489
48600,3279.0,6.747
43700,2838.0,6.494
48700,3288.0,6.752
43800,2847.0,6.5
48800,3297.0,6.756
43900,2856.0,6.506
48900,3306.0,6.761
44000,2865.0,6.511
49000,3315.0,6.765
44100,2874.0,6.517
49100,3324.0,6.77
44200,2883.0,6.523
49200,3333.0,6.774
44300,2892.0,6.528
49300,3342.0,6.779
44400,2901.0,6.534
49400,3351.0,6.783
44500,2910.0,6.539
49500,3360.0,6.788
44600,2919.0,6.545
49600,3369.0,6.792
44700,2928.0,6.55
49700,3378.0,6.797
44800,2937.0,6.556
49800,3387.0,6.801
44900,2946.0,6.561
49900,3396.0,6.806
45000,2955.0,6.567
50000,3405.0,6.81
